High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4090,3989,2723,3954,2545,3080,110.3,1,48.5,2.5,62.4,177.3,3482,8.12,7.54,3.28,80.25,14.8,4.5
4144,4090,2898,4048,2700,3205.4,109.9,2.4,41.5,5.6,72.3,155.8,3592.9,5.77,8.81,3.74,67.88,15,2.1
4341,4144,3032,4246,2840,3442,109.6,5.9,44.5,14.2,-54.5,191.3,3753.1,7.59,20.38,2.67,54.63,15.5,-0.9
4056,4341,3139,3987,2896,3054.2,106.1,6,178.6,9.5,-7.5,175,3521.9,7.94,20.41,2.99,45,13.7,-1.1
3917,4056,3071,3836,2844,2975.4,104,6,189.1,7.3,2,158.1,3441.9,8.82,17.63,2.26,45.63,16,-0.3
4068,3917,2616,3939,2515,3103.8,102.1,6,21.9,9.6,9.6,194.2,3447.1,8.99,20.72,4.77,44.38,18.7,2.9
3868,4068,2914,3829,2733,2863.1,107.5,6,196.6,15.5,29.3,146.1,3364.2,8.19,15.36,2.15,49.38,13.1,-0.5
3878,3868,2934,3817,2753,2985.7,99.8,6,134.5,7.5,26.4,134.7,3394.5,7.43,18.18,3.71,44.25,15.5,1.1
3959,3878,2917,3911,2735,2952.8,96,6,166.2,12.4,36.2,131.7,3401.2,7.03,21.81,2.82,45.63,15.7,-2
4535,3959,2862,4165,2668,3277.8,95.9,6,43.9,12.1,89,215.9,3740.5,7.44,18.83,2.47,63.5,10.4,-0.3
4015,4535,3171,3947,2894,3148.2,81.6,6,207.4,5,-58.7,144.8,3534.3,8.47,21.13,2.34,63.13,13.7,0.7
3845,4015,2980,3789,2772,3027.1,76.5,6,202.8,3.5,-18.7,94.9,3392.1,11.1,22.48,2.35,59.88,14.9,2.2
3610,3845,2903,3528,2708,2830.7,78,6,226,5.6,-33.2,109.5,3222.7,8.15,5.68,2.78,61.75,15.9,3.4
4027,3610,2745,3926,2589,3165.5,87,6,50.6,9.2,-66.6,158.3,3410,6.24,7.09,2.71,76.88,20,3
3788,4027,2653,3738,2477,2700.6,86.5,6,227.6,5.3,28.2,181,3235.1,10.65,23.66,2.63,59.13,15.4,2
3620,3788,2847,3582,2663,2677.9,88.8,6,249.2,5.8,7.7,182.5,3217.8,13.85,21.52,2.99,60.38,17.6,3.7
3483,3620,2722,3414,2553,2545.1,90.4,5.6,238.7,6.9,5.8,193.4,3085.8,15.75,16.62,4.47,64.88,20.2,6.5
3485,3483,2593,3384,2468,2498.5,100.9,6,194.4,15.6,40.8,175,3031.2,17.42,13.37,4.64,78.75,21.2,12.1
3453,3485,2565,3302,2446,2578.5,121.7,6,117.2,18.2,19.1,157.5,3018.2,15.36,5.32,2.54,90.63,22.3,10.8
3638,3453,2403,3591,2309,2551.6,163.3,6,208.8,10,-15.5,139.2,3063.3,8.61,2,2.89,86,20.7,2.6
