High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
5340,5251,3292,4755,2919,3253.3,225,14,272,7.3,19.1,479.8,4270.5,29.89,20.8,2.36,77.25,36.5,24.9
5478,5340,3407,4845,2975,3393.9,226.2,16,266.4,5.3,-47.5,501.4,4361.7,29.97,21.54,2.57,76.38,37.2,24.6
5509,5478,3460,4756,3017,3449.9,224.1,16,268.8,3.3,-90,495.9,4368,29.8,22.87,2.55,73.88,37.1,25.5
5328,5509,3073,4851,2723,3235.2,180.2,16,272.5,5.8,105.3,404.6,4219.5,30.15,23.21,3.05,73,36.5,24.8
5468,5328,3428,4823,3023,3550.2,193.6,16.7,262.8,3.6,-87.3,423.3,4362.8,29.93,23.13,2.68,72.5,38,24.6
5543,5468,3405,4739,2971,3449.9,193.2,17,268.7,2.9,-43.8,443,4330.8,29.92,22.2,2.8,72.5,37.9,24
5459,5543,3406,4744,3001,3483.1,169.2,16.5,263.9,3.5,-47.7,434.9,4323.3,29.98,24.89,2.93,70.38,38.9,23.4
5375,5459,3382,4526,2965,3423.7,153.7,16,275.2,7.2,-69.7,432.4,4238.6,29.46,22.99,2.95,73.38,35.2,24.7
4814,5375,2974,4323,2647,3151.5,162.5,16.5,163.1,2.5,-15.7,406,3886.5,26.31,8.66,2.27,86.5,34.4,22.4
4738,4814,3095,4114,2754,3041.3,171.1,16.5,120.3,3.8,-15.8,472.5,3809.7,26.8,14.37,2.48,81.88,33.5,22
4713,4738,2979,4126,2665,2966.9,182.9,16.5,194,2,-3.3,434.1,3793.1,26.08,8.55,2.01,85.38,33.4,21.9
4438,4713,3061,4146,2693,2915.9,184.8,16.5,118.6,3.4,27.3,432.3,3698.8,26.23,8.52,2.59,85.38,33.7,23
4375,4438,3068,3948,2743,2921.6,195.3,16.3,83.4,15.9,17.9,420.1,3670.4,26.9,20.95,2.48,72.5,32.7,22
4251,4375,2671,3821,2417,2611.4,182.3,17,217.1,2.7,12.1,397.2,3439.8,25.06,13.36,2.22,80.38,32.3,20.4
4350,4251,2828,3961,2556,2738.5,177.3,17.3,183,3.1,4,416.5,3539.7,24.95,6.68,3.29,87.63,31,21.2
4268,4350,2892,3874,2625,2793.3,182.7,17,71,17,25.6,422.6,3529.2,27.94,16.48,3.14,76.88,29.4,22.1
4869,4268,2959,4365,2677,2980.9,184.4,17,219.5,13.2,83.2,384.4,3882.6,25.59,4.58,2.8,86,34.6,22.5
4230,4869,3122,3870,2767,2938.4,189.3,17,61.3,7.8,-12.8,401.4,3602.3,27.15,16.12,2.52,76.38,32.6,22.9
