High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3947,3846,2713,3824,2540,2970.5,90,5,133.5,19.1,-60.9,144.5,3301.8,8.28,6.78,2.32,57.5,18.4,0.3
4077,3947,2825,3863,2642,3084.1,91.9,5,67.5,10.6,13,170.6,3442.6,9.74,3.4,3.02,90.25,17.6,5.3
4065,4077,2829,3788,2649,3160.4,113.3,5,25.3,8,7.3,179.6,3498.8,13.43,12.57,2.11,75.63,13,7.2
3786,4065,2409,3564,2306,2824.1,79.3,2.8,38.2,4,10.7,181.2,3140.3,15.07,7.9,2,81.88,20.9,8.7
3690,3786,2634,3484,2474,2783.8,90.3,1,70.5,13.1,16.3,157.1,3132.1,11.6,10.39,2.75,56.88,17.6,4.5
3819,3690,2634,3624,2495,2812.4,101.4,1,111.1,13.7,21.3,160.5,3221.4,11.61,11.84,2.18,61.63,22.3,3.1
3742,3819,2691,3584,2532,2779,98.3,1,126.3,10.5,15,147.7,3177.8,10.1,12.33,1.91,64.88,17,1.7
3756,3742,2707,3577,2555,2754.1,95.7,1,132.9,5.8,10.5,216.5,3216.6,10.16,2.51,1.74,89.5,18.8,6.5
3922,3756,2416,3702,2318,2915.2,100.6,1,20.8,12.6,-21.1,201.1,3230.3,14.45,10.68,1.7,82.38,22.5,9.1
3663,3922,2716,3463,2546,2810.3,101.9,1,109.2,10.2,-59.8,181.3,3154.1,10.55,5.78,3.46,57.13,18.3,5.8
4768,3663,2771,4480,2626,3387.8,136,1,3.1,11.2,205,205.2,3949.2,4.67,11.55,1.78,75.5,15.6,-2.1
4360,4768,3269,4129,2952,3355.3,106.8,1,90.6,3.6,-21.2,201.3,3737.4,7.22,9.74,1.95,72.25,8.8,-0.4
4098,4360,2586,3931,2453,2953.6,108.3,1,79.4,13.3,-26.3,237.8,3367.1,8.93,11.26,3.02,54.5,15.1,0.3
4091,4098,2883,3965,2659,2952,109.9,1,115.6,14.2,16.4,242.5,3451.7,7.45,9.28,2.04,60,16.3,-0.6
4142,4091,2945,3961,2734,3078.7,109.8,1,98,7.1,-6.3,225.3,3513.7,10.38,7.41,2.23,82.63,16.4,5.4
3815,3882,2581,3386,2373,2511.5,178.5,7,182.5,23.2,-7.1,239.3,3134.8,20.3,16.84,3.59,77.25,32.3,15.8
3568,3815,2385,3383,2214,2561.1,158.6,7,83.3,2.9,-1.1,201.9,3013.8,23.27,17.55,2.31,76.5,29.6,17.7
3908,3568,2531,3627,2360,2649.2,157.8,7,168.8,1.8,25.9,204,3214.6,21.82,4.79,1.68,91.25,28.1,18.4
3717,3908,2665,3522,2453,2705.5,154.3,7.3,38.4,1,51,239.2,3196.7,22.86,4.98,1.66,89.88,30.2,19.2
3845,3717,2634,3616,2435,2745.8,165.2,6.2,55,5,54.3,226.2,3257.5,23.97,18.72,2.5,80,27.4,18.5
4004,3845,2682,3620,2480,2722.6,165.4,7,158.8,6.9,31.2,224,3315.9,24.04,22.63,2.27,69.5,31.8,17.5
4236,4004,2514,3815,2311,2880.5,152.4,7,156.7,7,-40.3,225.4,3388.6,24.64,6.69,2.93,86.88,31.6,21
4149,4236,2803,3864,2559,2911.5,164.8,7,52.5,21,49.8,250.7,3457.3,25.77,20.39,2.53,70,31.1,19.3
4385,4149,2770,3863,2507,2773.7,163.8,8,211.1,8.1,33.8,312,3510.7,24.87,19.26,2.72,68.38,29.6,19.3
4336,4385,2798,3863,2523,2796.6,159.1,7,201.3,5.5,61.4,254,3484.8,23.05,18.68,2.6,55.88,32.8,18.3
3900,4336,2730,3497,2470,2668,160.8,7.1,194.3,8.1,-20.8,219.5,3237,19.7,4.85,2.28,77,31.6,16.2
4048,3900,2589,3696,2375,2646.6,182.1,7,197.3,6.8,-20.7,278.5,3297.5,22.75,7.84,2.24,71.25,34.5,17.5
3753,4048,2691,3542,2455,2681.3,174.2,7.3,72.4,12.1,14.9,246.3,3208.3,23.31,21.27,2.56,56.75,30,15
3955,3753,2634,3597,2417,2553.6,162.9,7.6,218.8,9.4,70.6,220.3,3243.1,21.24,8.17,2.33,77.38,28.1,16.2
3807,3955,2626,3448,2403,2593,157.9,7.8,99.4,6.3,81.1,226,3171.5,20.5,11.5,2.64,81.13,29.8,16.7
3950,3807,2345,3569,2190,2618.3,146.3,7,192.8,1,48.3,153.4,3167.1,23.01,18.46,2.28,75,28.6,15.8
3993,3950,2595,3614,2395,2715.2,142.4,7,202.8,1.5,3.8,185.4,3258,22.98,9.75,3.03,76.13,29.7,17.6
3858,3993,2647,3531,2422,2779.4,144,7.6,128.4,6.5,-13.6,166.8,3219.1,19.59,6.83,2.87,85.13,29.6,15.6
3667,3858,2613,3316,2407,2616.4,168.8,7.8,69.6,16.3,10.6,219.5,3108.9,19.43,19.37,2.21,69.63,28.1,12.5
3485,3667,2462,3292,2293,2389.6,162.5,7.4,219.7,5.4,-12.2,207.1,2979.5,19.59,13.56,1.91,71.5,26.4,14.1
3652,3485,2293,3427,2158,2535.1,126.4,7.2,99.9,5.8,69.5,180.1,3024,21.94,14.02,2.42,80.13,26.1,17.6
3865,3652,2567,3517,2390,2683.8,113.5,6.8,147.8,8,63.2,166.2,3189.4,17.89,8.81,3.24,60.5,26.7,12.1
3450,3865,2544,3274,2356,2534.8,111,7,103.5,13.1,26.8,187,2983.3,15.9,15.01,2.29,58.13,31,10
3414,3450,2459,3266,2301,2493,104.5,7.8,182.2,8,-34.5,178.7,2939.6,15.37,5.32,2.33,78.88,21.8,10.5
3475,3414,2458,3288,2308,2617.8,109.2,7,69.8,13.5,-15.4,166.1,2967.9,19.12,9.89,2.46,87.63,21,13.6
3959,3475,2390,3581,2262,2654.2,119.2,6.9,210.7,6.2,16.6,172.2,3186,21.45,8.67,2.14,84.5,28.2,17.4
3702,3959,2609,3442,2419,2769.3,106.2,7,92.8,3.7,-18.2,197.4,3158.1,22.56,13.13,2.55,75.75,30.2,15.4
4058,3702,2557,3575,2389,2702.3,102.1,7,182.7,11.1,58.6,199.9,3263.7,15.81,1.7,2.58,91.13,29.2,13.3
3534,4058,2574,3294,2389,2708,118.1,7,20.4,8.5,10.5,184.1,3056.6,15.17,3.22,1.98,92.75,30.2,13
3741,3534,2340,3522,2213,2697.9,139.6,6,30.1,14.7,23.3,192.1,3103.6,13.48,5.62,1.73,91.75,17.7,9.9
3645,3741,2590,3472,2424,2655.4,144.4,6,69,6.2,39.7,223.7,3144.3,14.24,14.1,2.81,70.38,15.6,7.6
3563,3645,2585,3411,2424,2537,146.5,6,196.3,12.5,-15.3,164.7,3047.7,11.35,3.51,2.96,93.38,17,9.5
3900,3563,2577,3681,2429,2822.7,151.9,6,39.9,14.3,34.4,214.6,3283.8,14.74,6.12,3.09,92.88,20.9,11
3660,3900,2676,3442,2492,2709.1,162,6,64.8,20.2,19.5,195,3176.7,16.81,2.19,2.5,97.5,16.1,14.7
3503,3660,2427,3333,2322,2467.6,116.7,6,149.3,20.5,32.7,188,2980.6,14.15,7.19,2.15,65.88,23,9.5
3621,3503,2524,3434,2364,2555.4,124.3,6,89.5,7.2,74.3,194.7,3051.4,12.88,3.52,2.49,85,28.2,8.8
3709,3621,2565,3511,2410,2683.5,154,6,39.6,11.7,19.9,241.8,3156.6,13.78,15.86,1.83,72.38,19.2,6.3
3504,3709,2583,3368,2412,2356.9,179.8,6,218.7,5.5,38.3,229.5,3034.6,14.2,15.3,1.93,72.25,17.2,6.5
3474,3504,2567,3297,2424,2324.9,216.9,6,210.6,3.3,37.4,218.3,3017.3,14.01,2.34,2.2,86.5,22.2,9.8
3577,3474,2360,3461,2246,2300.5,188.3,7,203.7,20.2,22.9,238.3,2980.8,11.89,13.27,2.22,59.75,17.9,3.1
3612,3577,2610,3482,2448,2445.1,205,7,174.4,10.8,44.5,214.9,3101.7,12.89,11.99,1.73,70.38,23.6,5
3562,3612,2599,3422,2435,2455.4,205.1,3.8,149.3,3.9,20.3,233,3070.8,14.6,13.35,2.13,69.13,18.5,6.3
3492,3562,2568,3322,2415,2452.7,174.7,2.3,191.4,3.7,32.1,174.1,3030.9,16.16,14.46,2.1,74.63,22.7,7.5
3560,3492,2373,3393,2268,2400.8,163.9,3,195.9,6,58.5,192.9,3021,14.66,14,1.9,70.38,19.7,5.6
