High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4651,4957,3402,4513,3054,3508,103.8,6,94.9,17.2,0.7,218.3,3948.9,3.12,14.36,3,38.88,6.6,-5.3
4407,4651,3101,4315,2859,3261.4,115.5,6,146.3,11.8,21.3,194,3756.3,4.29,14.25,2.64,44.5,11.9,-4.2
4409,4407,3277,4324,3001,3297.2,114.9,6,147.1,9.8,26.5,203.3,3804.8,4.88,17.02,2.41,45.25,12,-4.7
4263,4409,3324,4187,3032,3192.8,114.3,6,160.2,12.4,18.6,227.5,3731.8,6.22,16.49,1.97,52.5,11.8,-3.7
4133,4263,3229,4040,2964,3125.7,111,6,155,9.2,25.5,204.1,3636.3,11.2,13.29,4.56,60.25,12.8,-1.1
3804,4133,3063,3597,2821,2963.1,112.3,6,120.3,22,-11.7,160.8,3372.8,7.08,9.81,3.21,46.13,14.2,1.4
3989,3804,2879,3877,2694,3037.3,113.4,6,94.7,16.9,23.4,162.2,3454,5.37,16.59,5.46,36.5,13,-0.7
4415,3989,2966,4341,2793,3105.1,119.9,1.9,157.6,21.3,95,161.4,3662.2,5.64,14.08,2.62,52.38,19.7,-3.4
4216,4415,3265,4098,2965,3201.6,113,1,127,7.8,50.8,212.8,3713.9,10.68,9.07,3.77,70.25,14.1,3.1
4071,4216,2989,3805,2752,3071.7,115.4,1,58.5,20.7,-3.1,208.6,3472.9,6.9,16.17,4.55,36.13,11.9,0.6
4157,4071,2926,4063,2764,3159.8,122.7,1,146.4,14,-80.7,199.2,3562.4,6.56,18.09,2.24,52.75,18.3,-1.7
4273,4157,2692,4178,2575,3105.8,116.6,0.8,110.9,11.2,46.7,169.3,3561.4,5.31,16.66,2.82,57.13,14.2,-1.1
4200,4273,3102,4145,2841,3130.4,116.3,1,152.8,5.3,33,179.3,3618,5.99,13.42,1.81,68.63,12.4,-2.5
4103,4062,2850,3897,2648,3052.5,131.2,3,72.6,5,63.3,182.3,3509.9,6.84,11.49,2.05,65.13,16.7,0.3
4190,4103,2754,3981,2612,3073.8,125.6,7.5,95,4.5,49.5,193.8,3549.8,8.39,10.72,2.85,59.63,15.7,0.2
4080,4190,2912,3952,2753,3045.5,125.6,7.2,163.6,15,-23,179.3,3513.1,5.93,11.6,2.28,56,14.3,-2.3
4218,4080,3004,4098,2828,3211.6,122.7,7.3,172.1,4.2,-34.6,142.3,3625.5,5.58,11.17,1.81,65,15.2,-2.5
